"File","Energy","ZCR","CrestFactor","Tempo","SpectralCentroid","SpectralEntropy","AMDF_Min","AMDF_Mean","hardstyle","jazz","opera","Rancheras","Rap","Regueton","rock"
"1st-Contact-Multiple-Ignorance.wav",15911484.9639881,0.0950050584336299,7.39849331698797,57352.6914106441,2396.87207610875,6.77212030623849,772.087499420024,3979.72125151582,0,1,0,0,0,0,0
"Albert-Beger-Shasha.wav",14267491.4201695,0.116859236002093,8.56817607218106,48806.384415225,2233.52103392422,7.07935408420575,980.969694739123,3451.31840145358,0,1,0,0,0,0,0
"Barnacled-Slappodrome.wav",33512204.8434854,0.0868763300191872,5.66024435355589,46289.1369510077,1871.96944475243,6.76628886744017,1081.81644961327,5392.09960886988,0,1,0,0,0,0,0
"Jazz-at-Mladost-Club-No-More-Blues.wav",26082340.5983586,0.0682501308215594,6.35822302409723,50872.621075119,2222.99892020043,6.549781683833,840.921241556338,4775.71000247412,0,1,0,0,0,0,0
"Sid-Peacock-Bongo-psylocybin.wav",928629.068884703,0.0670678527821385,20.7782042094842,24778.0284971684,1160.74062154637,6.12297033967953,137.949254473837,841.304486586362,0,1,0,0,0,0,0
"Aversion-_-Unresolved-Darkside-_Official-Videoclip_.wav",146583170.716078,0.132538984824699,2.7064164552505,92795.2200649781,3127.25574139037,7.39629195565945,3980.7102001431,10647.5996493664,1,0,0,0,0,0,0
"Aversion-Activation-_Official-Videoclip__1.wav",108919529.363171,0.166182103610675,3.13966855289347,101936.892970682,3556.85772620526,7.51921975027686,3827.30309377397,8636.32592580383,1,0,0,0,0,0,0
"Hardstyle - Sweet Dreams.wav",68171842.7174837,0.147746729461015,3.9685710912168,74171.9641701477,3434.27075280074,7.53380334022249,2864.83648694802,6500.30822099337,1,0,0,0,0,0,0
"Just Dance (Hardstyle).wav",92669806.2761737,0.167914878772022,3.40382758529477,105663.099147074,3360.57039155476,7.52537456352329,3825.46247181667,8752.8699645276,1,0,0,0,0,0,0
"STEREO LOVE (Hardstyle).wav",53409162.2395503,0.179590441304727,4.48362000508052,112907.457805369,3536.95222788214,7.62270949658509,3227.37756685071,7058.06963947246,1,0,0,0,0,0,0
"Antes-de-perderte-Duki.wav",101013810.217372,0.0792496075353218,3.26021547628278,53704.6642973402,2389.23374318235,6.72297849327183,1758.94505178617,8526.13868229491,0,0,0,0,0,1,0
"Anuel_AA_Street_Poem.wav",63807383.4124242,0.0732394906680621,4.10205249019198,37667.3581754515,1844.71859070999,6.51702461635173,1270.27483840043,7062.54179766898,0,0,0,0,0,1,0
"DUKI_Justin_Quiles_Bizarrap_Unfollow.wav",92118021.8018458,0.0961726844583987,3.41400678264181,50320.8666890738,2685.30449176188,7.09893799761715,2085.25925493084,8355.78545687951,0,0,0,0,0,1,0
"Sola-remix-Anuel.wav",112556140.099539,0.101094714809001,3.08853185828579,64736.3700979656,2429.58531938034,7.04091995689918,2553.34686528759,10257.3212931005,0,0,0,0,0,1,0
"Travesuras-remix-NickyJam-Ft-DeLaGhetto.wav",110827626.750427,0.107561486132915,3.11252368159095,51271.9298031229,2521.73533720665,7.06737023809622,2328.31326855513,9483.63361924647,0,0,0,0,0,1,0
"1st-Contact-Rim-Of-Time.wav",53706784.0909098,0.105901971044828,4.32080750230701,91614.1429259205,3060.49032045364,7.11576036205362,1972.48635705088,7556.73753073176,0,0,0,0,0,0,1
"Here-Comes-A-Big-Black-Cloud__-Psychic-Violence.wav",122540648.796384,0.0882190825047968,2.89192008091618,72122.497736522,1707.25075427827,6.56689757028195,2433.90367518007,11430.3256846773,0,0,0,0,0,0,1
"Jon-Shuemaker-Pitch-Black-_Echoes_.wav",92170521.8155095,0.134888540031397,3.41303434085975,110212.392228774,3012.73816638035,7.26117789954192,3173.37572139394,9911.9027036456,0,0,0,0,0,0,1
"Matte-Black-CTRL.wav",35055589.7336972,0.07796336996337,5.53424068000506,61533.2013990676,2070.10574018293,6.64258560056648,1102.23888234393,6320.7262135488,0,0,0,0,0,0,1
"Matte-Black-Fuzz.wav",41038014.168128,0.0611599511599512,5.11497496715842,50361.3314656962,1851.14959792585,6.40225238650409,969.729169275831,6782.51324364534,0,0,0,0,0,0,1
"DNA-Kendrick-Lamar-_AUDIO_.wav",132304869.953127,0.0720568637711495,2.84871344966405,54289.8018878333,2103.90208865826,6.36491569421251,1608.14095103469,8736.17152423718,0,0,0,0,1,0,0
"Eminem-Rap-God-_Explicit_.wav",32748061.2804574,0.116514564800279,4.02754543174654,69325.2823920962,2517.34657715295,7.13620768453868,1485.40170012269,5192.05036501139,0,0,0,0,1,0,0
"Eminem_The_Real _Slim_Shady.wav",87648297.1896735,0.122255014826443,3.49997497852396,43544.4273361965,2563.80758046409,7.07370162719708,1973.08019224845,7714.5628383422,0,0,0,0,1,0,0
"Kendrick-Lamar-HUMBLE..wav",91755067.7106688,0.0725909645909646,3.42075248496683,72516.8450425448,2512.29958313685,6.58835082815509,1656.74085286616,6048.95237029185,0,0,0,0,1,0,0
"Mac_Miller_Donald_Trump.wav",67679916.4854307,0.109186813186813,3.98296760442631,58699.0671762294,2619.98014174128,7.12713783902595,1859.74811398853,6713.42178077024,0,0,0,0,1,0,0
"Carmen-Habanera-_Bizet-Anna-Caterina-Antonacci_-The-Royal-Opera_.wav",5117013.34764975,0.0878151055293912,14.4070839082653,31885.9285287352,1800.42423196404,6.69776601564365,387.386043393003,1774.79405342463,0,0,1,0,0,0,0
"Caruso.wav",5754238.57395814,0.0801705913134485,9.97832497955637,32733.7106527383,1912.55602341177,6.78713169703609,475.243632040339,2088.7806202313,0,0,1,0,0,0,0
"Luciano_Pavarotti_Ave_Maria.wav",3490698.54031641,0.0959675562532705,8.96784844133786,39613.5008670719,1829.68040800134,6.70633797403314,440.713229971474,1824.42235849599,0,0,1,0,0,0,0
"Luciano_Pavarotti_Nessun_dorma.wav",1974389.200839,0.0866565497994069,11.6886015115956,30321.6311841773,1853.15549894873,6.70414535711089,285.061838151697,1179.05182774544,0,0,1,0,0,0,0
"The-Magic-Flute-Queen-of-the-Night-aria-_Mozart-Diana-Damrau_-The-Royal-Opera_.wav",20398263.5162923,0.0922679225536368,7.13747414617872,28140.7205617404,1470.2283173232,6.37442636604297,889.324521655162,4202.78461919517,0,0,1,0,0,0,0
"Alejandro-Fernández-Caballero-_Video-Oficial_.wav",44607957.8989164,0.10156671899529,4.84165183051317,73998.4362709026,2555.21593450171,7.08302366816463,1717.16459311516,6768.78115666254,0,0,0,1,0,0,0
"Alejandro-Fernández-Como-Quien-Pierde-Una-Estrella-_Video-Oficial_.wav",36629029.2500499,0.0922557125414268,5.41407137167012,58153.3029664457,2108.37438174575,6.81938364673344,1341.16526780578,6585.60155752257,0,0,0,1,0,0,0
"Fermin-Confieso.wav",62889832.7675482,0.0700875632304204,4.13186821362708,58575.6622294218,2029.35828961725,6.74325741458644,1460.89810148198,7648.46468864815,0,0,0,1,0,0,0
"Ilan-Bar-Lavi-Por-Que.wav",31167082.1423482,0.0748407465550323,5.86933108340167,48908.208040571,1855.84930069953,6.51456184526899,995.802322275361,5954.19145263918,0,0,0,1,0,0,0
"Obed-Calixto-De-Ti.wav",51478251.9294966,0.0746363160648875,4.56693452908273,48407.2877535687,2027.57855226154,6.71292098742103,1269.56120375413,7223.80822001085,0,0,0,1,0,0,0
